begin,end,col_names,satzart
0,2,satzart,10
0,2,satzart,20
0,2,satzart,30
0,2,satzart,40
0,2,satzart,50
0,2,satzart,60
2,10,gebietsstand,10
2,10,gebietsstand,20
2,10,gebietsstand,30
2,10,gebietsstand,40
2,10,gebietsstand,50
2,10,gebietsstand,60
10,12,id,10
10,13,id,20
10,14,id,30
10,15,id,40
10,15,id,50
10,18,id,60
18,22,id_vbm,50
18,22,id_vbm,60
22,72,bez,10
22,72,bez,20
22,72,bez,30
22,72,bez,40
22,72,bez,50
22,72,bez,60
72,122,verwaltungssitz,10
72,122,verwaltungssitz,20
72,122,verwaltungssitz,30
72,122,verwaltungssitz,40
72,122,verwaltungssitz,50
122,124,schluessel,40
122,124,schluessel,50
122,124,schluessel,60
128,139,flaeche,60
139,150,bev,60
150,161,bev_m,60
165,170,plz,60
170,175,plz_eindeutig,60
177,181,finanzamts_bezirk,60
181,185,gerichtsbarkeit,60
185,190,arbeitsagentur_bezirk,60
190,193,bundestagswahlkreise_von,60
193,196,bundestagswahlkreise_bis,60
