begin,end,col_names,satzart
0,2,satzart,41
2,10,gebietsstand,41
10,15,id,41
29,39,regionsgrundtyp_stand,41
39,40,regionsgrundtyp,41
51,61,kreistyp_stand,41
61,62,kreistyp,41
62,72,arbeitsmarktregion_stand,41
72,75,arbeitsmarktregion,41
75,85,raumordnungsregion_stand,41
85,88,raumordnungsregion,41
88,98,regionstyp_stand,41
98,100,regionstyp,41
0,2,satzart,61
2,10,gebietsstand,61
10,18,id,61
30,40,planungsregion_stand,61
40,42,planungsregion,61
42,52,gemeindetypneu_stand,61
52,54,gemeindetypneu,61
66,76,verdichtungsraeume_stand,61
76,78,verdichtungsraeume,61
90,100,verstaedterung_stand,61
100,102,verstaedterung,61
102,112,zentralitaet_stand,61
112,117,zentralitaet,61
129,139,reisegebiet_stand,61
139,144,reisegebiet,61
148,158,bik_stand,61
158,161,biknr,61
164,165,biktyp5,61
165,166,bikstrukturtyp5,61
166,167,bikgroesse7,61
167,168,bikgroesse10,61
